feature,auc_with,auc_without,importance
iv_skew_snap,0.4945,0.4551,0.0394
vix_ret,0.4945,0.4628,0.0317
dxy_ret,0.4945,0.4746,0.0199
oil_spy_corr,0.4945,0.4776,0.0169
oil_ret,0.4945,0.485,0.0095
vix_close,0.4945,0.4867,0.0078
return_5d,0.4945,0.4874,0.0071
pc_ratio_snap,0.4945,0.4882,0.0063
intraday_momentum,0.4945,0.4892,0.0053
macd,0.4945,0.4892,0.0053
return_1d,0.4945,0.4905,0.004
vol_surge_eod,0.4945,0.4916,0.0029
obv_trend,0.4945,0.4917,0.0028
yield_10y,0.4945,0.4922,0.0023
rsi_14,0.4945,0.4931,0.0014
bb_pct,0.4945,0.4944,0.0001
spy_ret,0.4945,0.4946,-0.0001
short_ratio,0.4945,0.4949,-0.0004
fear_greed,0.4945,0.4958,-0.0013
atr,0.4945,0.4972,-0.0027
vix_term_structure,0.4945,0.4974,-0.0029
monday_sentiment,0.4945,0.4977,-0.0032
beta_60d,0.4945,0.5006,-0.0061
return_20d,0.4945,0.5022,-0.0077
xlk_ret,0.4945,0.5025,-0.008
sector_rel_ret,0.4945,0.5034,-0.0089
premarket_gap,0.4945,0.5039,-0.0094
