bucket,horizon,n_tickers,total_n_obs,win_rate,annualized_return,annualized_vol,sharpe,turnover,fitness
Core Silicon,1,6,226,0.5935476214695012,1.0626457396129643,0.3012174346408596,3.4189721630022505,0.2681777569775357,8.551209461690975
Materials,1,1,40,0.6190476190476191,1.458020069476488,0.4999878819819917,2.9161108139196905,0.1794871794871795,8.311301900090523
Ad Tech,1,1,33,0.5625,1.0079487885723126,0.35228666709801587,2.861160761136252,0.09375,8.124684165770566
Consumer Tech,1,3,106,0.658200290275762,0.6465861296458522,0.21128433402429753,3.3819995440664923,0.2624652273826802,6.0040647436211385
Physical AI,1,1,40,0.5714285714285714,0.8725502365717073,0.2656736280567663,3.2842937515245962,0.3076923076923077,5.530684629380205
Fintech,1,2,73,0.5462635322145535,0.7476597129166759,0.24624096540263266,3.1362028119515086,0.3522457850368809,4.869883011015301
Server Hardware,1,1,40,0.6666666666666666,0.5392573397101654,0.2344661399441411,2.2999369539611876,0.07692307692307693,4.777040873369235
Space Tech,1,2,66,0.3782467532467533,1.275971469663465,0.8918119487750651,1.582372662404422,0.359375,4.742991472093638
SaaS Victim,1,3,112,0.5316964285714285,0.6765405875045705,0.2997121386159422,2.357195513391867,0.2476575302438789,4.610981685168201
Hyperscaler,1,4,153,0.532740632484878,0.3624482404633165,0.17373258073372802,2.099243767104313,0.2819884364002011,2.4320997987139004
Memory,1,1,33,0.48484848484848486,0.628985172773601,0.5996325021869022,1.0489511000148382,0.0,2.352991943303192
Financials,1,3,106,0.6072970068530557,0.32560167690241026,0.17610265947221604,1.6589980751637612,0.2621477382680213,2.1770780409251502
Scientific Instruments,1,1,33,0.5238095238095238,0.5054420272952498,0.36773880634318323,1.3744593134496619,0.28125,1.8425585544021175
Commodities,1,1,40,0.40740740740740733,0.36235376982423523,0.2757302083114687,1.3141605776285321,0.3076923076923077,1.4261214349753955
Defense,1,1,33,0.5333333333333333,0.4303456975951293,0.6410827452988516,0.6712794888817611,0.46875,0.6431932377145084
Energy Storage,1,2,66,0.5,0.17713464974052623,0.39518346984753017,0.38887049140207175,0.203125,0.5165143158836585
Healthcare,1,11,405,0.46959376580312717,0.0822446975362126,0.2135344514789743,-0.3428055281142582,0.28674817980373535,0.37266229791072164
Telecom,1,1,33,0.5,0.04272122580226228,0.09939399942464112,0.429816951220006,0.21875,0.18994652869943449
Networking,1,1,33,0.5,0.0002906455619952468,0.3197527393288032,0.0009089697326920306,0.21875,3.313273135733927e-05
PropTech,1,1,40,0.4166666666666667,-0.012983081306177563,0.4909074557706692,-0.026447105566558556,0.43589743589743596,-0.0045643073383368985
Industrials,1,1,33,0.45454545454545453,-0.03573812500913777,0.14166688387979826,-0.2522687309156945,0.25,-0.09538043524206237
Enterprise Software,1,8,285,0.47633176119755544,-0.14284951102840393,0.3824256283444978,-0.3243215190420669,0.24184379217273955,-0.9636671384875312
Biotech,1,7,238,0.5275512986395051,0.02735117856643548,0.48648378260717157,-0.8017130805409924,0.21205693815987936,-1.147253577551433
Quantum Computing,1,1,33,0.25,-0.29085671025780385,0.3106611273598346,-0.936250739607046,0.15625,-1.2773846840746732
Infrastructure,1,2,66,0.5833333333333334,-0.6475532519697292,0.7263035565819099,-0.63052037838134,0.28125,-1.461130984510203
Neoclouds,1,2,66,0.38181818181818183,-0.5415712396957588,0.40024132644684507,-1.249421577459648,0.375,-1.4618652495472553
Cybersecurity,1,3,106,0.5046121593291405,-0.38291218632480806,0.3330807235380854,-1.2672367883846174,0.3300374939525883,-1.734193426105534
Consumer,1,15,495,0.4497511753239307,-0.12444660931126843,0.22256654917805294,-1.0400483242004466,0.25416666666666665,-1.8972055883674417
Automotive,1,2,66,0.3476190476190476,-0.38084314492731286,0.20621872894451787,-1.7302689343795143,0.25,-2.5208620160939885
E-commerce,1,1,39,0.38095238095238093,-0.6936029128169166,0.3564281817322186,-1.9459822437329446,0.23684210526315788,-3.330158243525725
Semiconductor Equipment,1,2,66,0.30833333333333335,-0.5431761546634439,0.27524436779854633,-2.1630897327461662,0.21875,-3.5231141142488274
Nuclear,1,1,33,0.18181818181818182,-2.140187173571496,0.5312181338029759,-4.028829283838553,0.3125,-10.543376924495258
